date,day_name,day_num,time_period,period_index,weather_icon,weather_icon_src,weather_phrase,wind_speed,wind_direction,wind_speed_display,snow_amount,rain_amount,temperature_max,temperature_min,temperature_chill,humidity,freezing_level
2025-11-08,Sat,8,10 AM,0,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,0.0,NE,0,—,—,4,4,4,49,2500
2025-11-08,Sat,8,1 PM,1,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,NNW,5,—,—,5,5,4,57,2450
2025-11-08,Sat,8,4 PM,2,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,N,5,—,—,4,4,3,70,2300
2025-11-08,Sat,8,7 PM,3,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,2,2,1,76,2150
2025-11-08,Sat,8,10 PM,4,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,2,2,2,78,2050
2025-11-09,Sunday,9,1 AM,5,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,2,2,2,77,2100
2025-11-09,Sunday,9,4 AM,6,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,1,1,1,78,2000
2025-11-09,Sunday,9,7 AM,7,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,ENE,5,—,—,1,1,1,82,1900
2025-11-09,Sunday,9,10 AM,8,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NE,5,—,—,2,2,1,77,2150
2025-11-09,Sunday,9,1 PM,9,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NNE,5,—,—,4,4,3,69,2300
2025-11-09,Sunday,9,4 PM,10,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NNE,5,—,—,3,3,1,77,2250
2025-11-09,Sunday,9,7 PM,11,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,3,3,3,80,2250
2025-11-09,Sunday,9,10 PM,12,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,0.0,ENE,0,—,—,3,3,3,76,2300
2025-11-10,Monday,10,1 AM,13,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,0.0,SE,0,—,—,2,2,2,68,2400
2025-11-10,Monday,10,4 AM,14,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,0.0,SSE,0,—,—,2,2,2,67,2350
2025-11-10,Monday,10,7 AM,15,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,0.0,SSE,0,—,—,2,2,2,64,2400
