date,day_name,day_num,time_period,period_index,weather_icon,weather_icon_src,weather_phrase,wind_speed,wind_direction,wind_speed_display,snow_amount,rain_amount,temperature_max,temperature_min,temperature_chill,humidity,freezing_level
2025-11-14,Friday,14,AM,40,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,10.0,SE,10,—,—,14,12,11,40,3650
2025-11-14,Friday,14,PM,41,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,10.0,SE,10,—,—,11,8,6,53,3400
2025-11-14,Friday,14,night,42,rain showers,/packs/components/weather-icon/static/nightrainshowers-fdd5239348f6e287492f6f267438893a.svg,rain shwrs,10.0,SE,10,—,1.0,8,6,4,73,2750
2025-11-15,Saturday,15,AM,43,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,5.0,SE,5,—,—,12,9,8,68,3050
2025-11-15,Saturday,15,PM,44,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,SSE,5,—,—,10,7,5,61,3050
2025-11-15,Saturday,15,night,45,cloud,/packs/components/weather-icon/static/nightcloud-987e021dffc572a219863ec8c87cfb8f.svg,cloudy,10.0,SE,10,—,—,6,6,4,64,3250
2025-11-16,Sunday,16,AM,46,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,10.0,SE,10,—,—,12,9,8,61,3250
2025-11-16,Sunday,16,PM,47,light rain,/packs/components/weather-icon/static/daylightrain-11a7b5cdcd4f411a691a7fa4f016160b.svg,light rain,5.0,SE,5,—,1.0,9,7,7,68,2600
2025-11-16,Sunday,16,night,48,rain showers,/packs/components/weather-icon/static/nightrainshowers-fdd5239348f6e287492f6f267438893a.svg,rain shwrs,10.0,SSE,10,—,11.0,5,4,2,90,2050
2025-11-17,Monday,17,AM,49,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,S,5,—,—,10,8,8,70,2450
2025-11-17,Monday,17,PM,50,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,0.0,NNW,0,—,—,8,6,6,84,2600
2025-11-17,Monday,17,night,51,cloud,/packs/components/weather-icon/static/nightcloud-987e021dffc572a219863ec8c87cfb8f.svg,cloudy,5.0,SE,5,—,—,5,4,2,71,2550
2025-11-18,Tuesday,18,AM,52,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,5.0,SE,5,—,—,9,8,7,68,2900
2025-11-18,Tuesday,18,PM,53,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,10.0,ESE,10,—,—,8,5,3,77,3050
2025-11-18,Tuesday,18,night,54,rain showers,/packs/components/weather-icon/static/nightrainshowers-fdd5239348f6e287492f6f267438893a.svg,rain shwrs,5.0,S,5,—,5.0,4,3,2,91,2250
2025-11-19,Wednesday,19,AM,55,light rain,/packs/components/weather-icon/static/daylightrain-11a7b5cdcd4f411a691a7fa4f016160b.svg,light rain,5.0,SSW,5,—,2.0,6,5,5,76,2100
2025-11-19,Wednesday,19,PM,56,light rain,/packs/components/weather-icon/static/daylightrain-11a7b5cdcd4f411a691a7fa4f016160b.svg,light rain,5.0,WSW,5,—,3.0,4,4,3,98,1900
2025-11-19,Wednesday,19,night,57,heavy rain,/packs/components/weather-icon/static/nightheavyrain-ce639d188c3f3f659f105d333f02c28e.svg,heavy rain,5.0,SSW,5,—,11.0,4,2,1,95,1750
