date,day_name,day_num,time_period,period_index,weather_icon,weather_icon_src,weather_phrase,wind_speed,wind_direction,wind_speed_display,snow_amount,rain_amount,temperature_max,temperature_min,temperature_chill,humidity,freezing_level
2025-11-08,Saturday,8,AM,0,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,NE,5,—,—,1,1,1,45,2500
2025-11-08,Saturday,8,PM,1,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,N,5,—,—,0,-1,-4,62,2300
2025-11-08,Saturday,8,night,2,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NNE,5,—,—,-1,-2,-5,66,2100
2025-11-09,Sunday,9,AM,3,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NE,5,—,—,0,-1,-4,74,2150
2025-11-09,Sunday,9,PM,4,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,5.0,NNE,5,—,—,0,0,-2,77,2250
2025-11-09,Sunday,9,night,5,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,0.0,N,0,—,—,0,0,0,47,2400
2025-11-10,Monday,10,AM,6,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,WSW,5,—,—,2,1,0,46,2600
2025-11-10,Monday,10,PM,7,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,10.0,WSW,10,—,—,2,1,-2,53,2600
2025-11-10,Monday,10,night,8,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,10.0,SW,10,—,—,1,1,-2,52,2400
2025-11-11,Tuesday,11,AM,9,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,SW,5,—,—,3,2,0,39,2650
2025-11-11,Tuesday,11,PM,10,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,10.0,SW,10,—,—,3,3,0,42,2750
2025-11-11,Tuesday,11,night,11,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,10.0,SSW,10,—,—,4,3,0,38,3050
2025-11-12,Wednesday,12,AM,12,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,10.0,SSW,10,—,—,7,6,4,28,3350
2025-11-12,Wednesday,12,PM,13,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,10.0,SSW,10,—,—,7,7,5,33,3550
2025-11-12,Wednesday,12,night,14,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,10.0,S,10,—,—,7,6,3,26,3650
2025-11-13,Thursday,13,AM,15,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,20.0,SSW,20,—,—,9,8,5,33,3450
2025-11-13,Thursday,13,PM,16,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,15.0,SSW,15,—,—,9,8,5,38,3500
2025-11-13,Thursday,13,night,17,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,10.0,S,10,—,—,9,7,4,28,3600
2025-11-14,Friday,14,AM,18,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,15.0,SSE,15,—,—,8,8,5,36,3650
2025-11-14,Friday,14,PM,19,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,15.0,S,15,—,—,7,5,2,49,3400
2025-11-14,Friday,14,night,20,rain showers,/packs/components/weather-icon/static/nightrainshowers-fdd5239348f6e287492f6f267438893a.svg,rain shwrs,15.0,S,15,—,1.0,3,3,-1,81,2750
2025-11-15,Saturday,15,AM,21,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,15.0,S,15,—,—,5,4,0,57,3050
2025-11-15,Saturday,15,PM,22,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,20.0,SSW,20,—,—,5,4,-1,40,3050
2025-11-15,Saturday,15,night,23,cloud,/packs/components/weather-icon/static/nightcloud-987e021dffc572a219863ec8c87cfb8f.svg,cloudy,20.0,S,20,—,—,4,3,-2,47,3250
2025-11-16,Sunday,16,AM,24,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,25.0,S,25,—,—,5,5,0,54,3250
2025-11-16,Sunday,16,PM,25,light snow,/packs/components/weather-icon/static/daylightsnow-49fef9f245880afc68571ca10e3aaee8.svg,light snow,15.0,S,15,—,—,3,1,-2,73,2600
2025-11-16,Sunday,16,night,26,snow showers,/packs/components/weather-icon/static/nightsnowshowers-39fdd245bdc24689c34c66eef5a64234.svg,snow shwrs,25.0,SW,25,5.0,—,0,-2,-7,91,2050
2025-11-17,Monday,17,AM,27,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,15.0,SSW,15,—,—,3,1,-3,64,2450
2025-11-17,Monday,17,PM,28,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,5.0,S,5,—,—,2,1,-1,66,2600
2025-11-17,Monday,17,night,29,cloud,/packs/components/weather-icon/static/nightcloud-987e021dffc572a219863ec8c87cfb8f.svg,cloudy,10.0,S,10,—,—,2,1,-2,55,2550
2025-11-18,Tuesday,18,AM,30,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,15.0,S,15,—,—,3,3,0,61,2900
2025-11-18,Tuesday,18,PM,31,cloud,/packs/components/weather-icon/static/daycloud-66ca1933047188b18f06b6e6c1c551a7.svg,cloudy,15.0,SE,15,—,—,4,2,-2,64,3050
2025-11-18,Tuesday,18,night,32,snow showers,/packs/components/weather-icon/static/nightsnowshowers-39fdd245bdc24689c34c66eef5a64234.svg,snow shwrs,25.0,SSW,25,2.0,—,0,-1,-4,79,2250
2025-11-19,Wednesday,19,AM,33,light snow,/packs/components/weather-icon/static/daylightsnow-49fef9f245880afc68571ca10e3aaee8.svg,light snow,10.0,S,10,1.0,—,-1,-2,-6,74,2100
2025-11-19,Wednesday,19,PM,34,light snow,/packs/components/weather-icon/static/daylightsnow-49fef9f245880afc68571ca10e3aaee8.svg,light snow,15.0,SSW,15,1.0,—,-2,-2,-7,97,1900
2025-11-19,Wednesday,19,night,35,mod snow,/packs/components/weather-icon/static/nightmodsnow-8b99f0d6088649cd6eeafdf3465e71ef.svg,mod. snow,25.0,SW,25,5.0,—,-3,-4,-9,94,1750
