date,day_name,day_num,time_period,period_index,weather_icon,weather_icon_src,weather_phrase,wind_speed,wind_direction,wind_speed_display,snow_amount,rain_amount,temperature_max,temperature_min,temperature_chill,humidity,freezing_level
2025-11-08,Sat,8,10 AM,0,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,NE,5,—,—,1,1,1,45,2500
2025-11-08,Sat,8,1 PM,1,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,N,5,—,—,1,1,0,51,2450
2025-11-08,Sat,8,4 PM,2,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,N,5,—,—,0,0,-2,62,2300
2025-11-08,Sat,8,7 PM,3,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,10.0,NNE,10,—,—,-1,-1,-4,63,2150
2025-11-08,Sat,8,10 PM,4,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NNE,5,—,—,-1,-1,-4,66,2050
2025-11-09,Sunday,9,1 AM,5,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NNE,5,—,—,-1,-1,-4,66,2100
2025-11-09,Sunday,9,4 AM,6,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,10.0,NNE,10,—,—,-1,-1,-4,70,2000
2025-11-09,Sunday,9,7 AM,7,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NE,5,—,—,-2,-2,-5,77,1900
2025-11-09,Sunday,9,10 AM,8,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NE,5,—,—,-1,-1,-4,74,2150
2025-11-09,Sunday,9,1 PM,9,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,10.0,NNE,10,—,—,0,0,-3,68,2300
2025-11-09,Sunday,9,4 PM,10,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NNE,5,—,—,0,0,-2,77,2250
2025-11-09,Sunday,9,7 PM,11,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NNE,5,—,—,0,0,-2,73,2250
2025-11-09,Sunday,9,10 PM,12,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,NNE,5,—,—,0,0,0,62,2300
2025-11-10,Monday,10,1 AM,13,clear,/packs/components/weather-icon/static/nightclear-df4275ae4966694e68f88c837c9b8a11.svg,clear,0.0,N,0,—,—,0,0,0,47,2400
